account_number,annual_income,household_size,years_post_high_school_ed,hours_per_week_watching_tv,age,gender,exceeded_credit_limit_in_past,annual_charges
27663012,61.9,2,2,19,39,Female,No,6838.27
3433906,123.1,8,3,36,48,Male,No,22188.09
23496763,112.7,7,5,43,61,Female,No,11920.21
15653545,75.4,2,3,10,48,Male,No,4449.19
7149299,75.6,8,0,52,51,Female,No,14772.26
12778255,88.4,4,2,39,48,Female,No,16309.23
19486066,48.9,4,2,40,34,Male,No,13919.4
29209501,48.5,2,1,49,38,Male,Yes,5111.08
11766230,50.1,7,5,38,51,Male,No,8470.04
26322113,55.8,6,4,60,53,Male,No,9344.12
11655691,66.6,2,1,19,62,Male,No,16532.58
5056888,104.8,6,0,34,54,Male,No,27998.69
8584307,47,5,4,26,59,Male,No,12768.37
27748584,72,7,2,48,37,Male,No,16996.71
11381669,79.3,8,5,28,65,Male,No,18961.52
354422,51.4,4,1,15,26,Male,No,19059.03
2156900,129.3,5,0,49,56,Male,No,26720.44
18048081,49.4,4,4,17,31,Male,No,8062.7
18930224,82.3,4,1,5,35,Male,No,6728.79
1350596,63.6,5,0,5,44,Male,No,8457.44
5812789,66.4,8,1,39,31,Male,No,11025.34
114560,86.6,4,0,30,49,Male,Yes,9619.52
9952351,49,6,5,37,37,Female,No,16014.79
21130604,40.4,6,5,2,33,Male,No,11281.48
28951463,51.9,2,3,8,41,Male,No,2680.68
5842240,62.7,6,0,38,40,Male,No,15848.98
26663023,52.9,2,3,37,48,Male,No,11820.71
17548581,85.7,3,1,38,57,Female,No,17950.11
24765963,28.8,5,0,7,50,Male,No,14374.13
7364305,32.5,4,5,56,55,Male,No,2990.23
26876116,44.9,3,2,58,41,Male,No,3360.94
11561577,43.1,3,4,31,23,Male,No,3121.82
21435182,61.6,2,4,17,56,Male,No,0
20511312,97.1,5,2,48,49,Male,Yes,13912
27717101,120.9,2,3,36,40,Male,No,9259.61
29671303,76.7,7,0,6,35,Female,No,13817.65
26366224,90.6,8,5,48,48,Female,No,10304.83
25779290,24.2,4,1,32,63,Female,No,0
15709152,53.2,2,3,40,56,Female,Yes,10450.15
3580150,84,5,1,12,41,Female,No,12806.12
10821104,72.4,6,0,2,56,Female,No,16169.75
11293857,82.4,1,2,3,33,Male,Yes,4696.76
6704432,95,1,5,40,38,Female,No,10624.22
1897798,43.1,4,4,58,24,Male,No,6140.78
27166272,52.6,5,2,56,38,Female,No,7010.09
25252256,20.3,8,1,35,44,Female,No,9179.63
13245656,17.1,5,1,8,47,Male,No,3281.62
21972373,102.9,4,4,56,35,Female,No,13912.56
21682181,122.2,5,1,13,62,Female,No,14787.37
12235595,98.4,5,2,51,37,Male,No,12237.52
24950540,62,5,5,50,35,Male,No,11383.52
12885165,47.2,6,0,46,52,Male,No,15348.98
3100343,34,2,0,49,34,Male,No,4525.89
10136160,22.7,1,4,42,28,Male,No,0
24199521,78.2,2,0,7,45,Female,No,15237.94
12073812,91.9,6,1,31,37,Female,No,16185.63
3892776,39,2,1,15,33,Female,No,5421.08
27507480,102.7,4,2,19,60,Female,No,24168.55
26421161,47.5,5,2,39,23,Male,No,9541.62
3568273,37.8,7,2,48,32,Female,No,10950.17
6375594,98.9,3,2,28,37,Female,No,11832.92
2422899,85.5,2,0,39,27,Male,No,14890.21
18283243,97.8,3,3,12,35,Male,No,18248.44
2810887,109.3,2,3,11,47,Female,No,16035.15
14783248,41.6,7,1,31,26,Male,No,13172.39
478065,98.9,7,3,31,50,Male,No,9866.21
8635837,125.4,3,2,52,48,Male,No,13715.93
18150088,59.4,1,4,17,40,Male,No,7058.77
1085536,90.2,6,1,6,59,Male,No,16181.76
14875761,19.6,4,5,46,43,Female,No,432.93
13063209,115.1,3,1,48,37,Female,No,10553.85
11272231,28.7,4,4,45,28,Male,No,930.38
12936881,64.2,7,2,17,50,Male,No,7684.21
29007644,96.3,5,3,8,55,Male,No,10195.57
4340111,19.3,2,3,18,46,Female,No,0
27415250,96,6,4,40,41,Female,No,24015.7
6998195,26.5,7,4,35,49,Female,No,6522.25
13597470,65.5,5,0,45,33,Male,No,10700.57
12782974,44.6,8,2,38,39,Female,No,15464.38
2778311,37.6,8,4,28,43,Female,No,2400.79
10909916,102.2,8,5,39,46,Male,No,10278.21
11036136,59.9,3,2,32,22,Male,No,14597.58
12486631,101,8,2,6,50,Female,No,18410.88
20328760,91.6,4,3,9,57,Female,No,21143.06
8595728,50.7,4,2,19,59,Male,No,12334.64
19801494,49.4,7,1,36,38,Male,No,9877.62
4294393,44.8,7,0,44,47,Female,No,17202.56
13201573,73.9,5,0,56,54,Male,No,18669.2
12399550,70.3,4,3,0,34,Female,Yes,17179.62
827084,113.3,6,4,56,38,Female,No,20980.29
2078526,69.2,5,2,44,53,Male,No,8512.69
20311619,54.1,7,5,31,34,Male,No,15946.98
9783555,58.1,2,2,24,60,Male,No,15077.2
7711108,110.9,2,0,47,46,Female,No,16244.47
14729348,52.8,6,4,32,49,Female,No,13876.08
978203,57.6,2,4,13,51,Male,No,989.71
20470923,81.8,4,1,18,35,Female,No,14455.76
454396,111.2,6,1,3,28,Female,No,24853.99
11006767,31.2,3,0,56,37,Female,No,14467.04
3025867,22.4,6,5,53,52,Male,No,9960.61
4496170,42.3,6,3,13,37,Male,No,11333
3070507,41.5,2,4,37,55,Female,No,13203.97
24281871,50.1,3,1,17,54,Female,No,12294.1
7016518,47.3,2,3,41,44,Male,No,0
7747799,38.7,3,0,11,47,Male,No,11159.3
21022352,42.7,6,0,57,32,Female,No,12504.44
19815193,32.8,8,5,42,40,Male,No,12158.7
23342675,45.3,7,1,15,28,Female,No,9359.91
17650692,129.2,2,4,39,45,Male,No,17173.61
1259707,72.5,6,2,47,47,Female,No,9133.63
16637270,35,2,0,55,38,Female,No,10240.58
21489769,74.4,8,1,33,48,Female,No,23964.31
18438190,28.7,1,1,31,41,Female,No,0
25459475,122.3,4,3,27,36,Female,No,20865.23
16491647,45.1,4,2,28,47,Male,No,5872.01
9479079,79.7,4,2,15,54,Male,No,9060.76
4875503,117.7,7,4,29,46,Female,No,24579.57
19275708,93.9,6,3,3,46,Female,Yes,17526.2
28630099,32,2,1,32,47,Male,No,0
13900370,56.1,5,3,57,44,Female,No,10846.21
18248453,80.7,6,4,16,29,Male,No,9870.91
7768752,78.3,8,5,29,56,Male,No,19026.78
709551,75.3,8,5,22,25,Female,Yes,11256.6
25496997,50.6,6,1,15,40,Male,No,6945.86
21860655,55.3,5,2,37,33,Male,No,2688.08
24120547,67.1,3,1,35,36,Female,No,8785.72
4574484,55.8,4,3,45,35,Male,No,9238.06
9755016,72.2,7,3,25,38,Female,No,11968.32
2330715,81.8,5,4,50,45,Female,Yes,17378.8
2327281,52.7,2,2,54,46,Male,No,4257.91
11569147,122.5,7,5,56,41,Female,No,14938.94
28156635,51.5,3,1,18,68,Female,No,10377.47
7200009,9.9,7,5,0,27,Male,No,12465.51
26753570,76.9,6,4,15,46,Male,No,13434.25
18881223,54.7,7,3,19,55,Male,No,16407.78
3039183,93.9,2,3,37,54,Female,No,12440.38
24137537,99.1,8,1,20,43,Male,No,17925.01
14734861,100.7,1,0,15,25,Female,No,7566.38
14845890,38.8,1,4,1,38,Female,Yes,3767.35
11711189,28.4,7,0,36,25,Female,No,10600.85
14003601,103.7,5,4,11,33,Male,No,18971.69
15397701,54.1,6,1,25,55,Male,No,7426.95
28614417,84.8,3,3,4,46,Female,No,19767.13
14088948,36.2,7,5,13,53,Male,Yes,6963.5
4035948,86.9,6,4,34,30,Male,No,11051.54
23120548,109.8,5,5,6,43,Female,No,10990.02
13264077,49.6,8,2,32,54,Male,No,14057.74
27985867,66,2,5,23,40,Female,No,13318.41
25034495,45.3,6,3,45,47,Female,No,16220.79
17336099,69.3,3,5,35,51,Female,No,18677.89
6072761,73.8,5,0,56,55,Male,No,18096.4
27780051,64.1,2,0,58,45,Female,No,11757.21
16944802,101,6,5,5,62,Female,No,8259.22
8793032,86.4,7,4,31,41,Female,No,19648.03
16258021,52.1,6,5,57,45,Male,No,9822.03
19015272,48.3,1,1,23,41,Male,No,10833.51
28381902,69.8,1,5,15,65,Male,No,11379.62
10199596,31.6,2,1,35,40,Male,No,3262.79
15468898,95.6,6,4,22,54,Female,No,5360.36
614118,58.4,3,0,13,61,Male,No,15113.07
2240902,80.8,5,4,18,46,Female,No,5049.67
9701180,91.5,3,3,28,45,Female,No,17448.46
27122616,107.2,3,1,32,43,Male,No,19135.98
9483928,45.2,1,4,19,47,Female,No,6823.1
19406882,100.4,5,2,12,42,Female,Yes,16775.97
20141965,104.6,7,2,28,43,Male,No,15025.93
20555742,59.2,6,1,1,22,Male,No,12211.23
17390584,86.2,8,3,22,48,Male,No,15978.79
67705,51.6,8,1,13,59,Female,No,7792.66
15344923,81,7,1,47,41,Female,No,22886.89
12601890,61.6,5,5,52,37,Female,No,13526.2
20557868,35,7,2,49,58,Female,No,2989.34
15313394,44.7,3,3,48,48,Female,No,10168.21
12835117,65.9,4,4,21,29,Male,No,8917.72
21663514,114.9,2,3,0,48,Male,No,8706.97
17134796,38.4,4,0,56,45,Female,No,9975.06
15876228,106.5,7,1,36,44,Female,No,19659.22
5803054,65.8,4,3,9,64,Female,No,14692.1
28310368,50.5,4,3,39,67,Male,No,4146.14
573721,113.5,2,1,34,27,Male,No,17507.32
27311546,108.1,4,0,49,38,Male,No,16447.64
18460304,38.9,2,1,10,59,Male,No,7322.06
28967852,26.5,6,1,35,25,Male,No,11246.05
24641705,40.2,3,1,21,53,Female,No,2010.99
13456970,113.3,1,4,59,48,Female,No,15139.08
25814491,56.7,5,4,37,61,Male,No,3423.75
2185244,51.5,7,3,14,34,Male,No,3674.78
20095674,68.2,6,1,33,38,Female,No,12812.07
8599932,49,7,2,23,25,Male,No,6306
13405404,69,1,4,4,22,Male,No,8622.72
1081069,46.5,8,3,1,31,Male,No,680.47
2885262,32,3,2,48,49,Female,No,6407.99
9749035,71.5,1,1,11,37,Male,No,11771.92
15068971,58,8,1,12,39,Male,No,3654.62
28570764,123.8,1,2,52,26,Female,No,24052.48
20297304,36.3,4,4,58,41,Female,No,15086.12
12227941,107,4,3,27,34,Male,No,19504.39
16211784,79.3,2,3,10,39,Male,No,9228.6
11912197,80.6,5,0,57,66,Male,No,7624.82
7025501,73.8,2,1,44,38,Male,No,12468.91
19139223,75,5,3,56,60,Male,No,4855.48
12688471,125.5,2,0,43,60,Male,No,23806.88
11572598,75.4,7,2,11,43,Male,No,17999.32
18736508,97.7,5,1,38,35,Male,No,15799.69
13753041,84.7,2,5,40,67,Male,No,15650.15
6038807,56.5,7,4,4,42,Female,No,12346.27
1780470,44.4,8,2,22,42,Male,Yes,6123.75
13405827,61.4,5,4,4,33,Female,No,6190.69
24759810,84.8,8,1,17,48,Male,No,22987.65
3335908,111.2,6,5,31,19,Female,No,9798.97
29702019,44,5,5,37,63,Male,No,14613.15
14013878,80.5,5,0,57,38,Female,No,12296.3
9014894,78.3,2,2,11,61,Female,No,4757.99
24186561,78.9,4,2,42,49,Male,No,3611.85
25778571,75.3,2,4,19,33,Male,No,5742.14
23471446,84.5,8,0,16,55,Male,No,15025.88
12054408,46.4,2,1,3,36,Female,No,13069.76
16923163,36.8,2,3,3,45,Male,No,12854.74
17570429,123.9,2,4,29,46,Female,No,8138.02
1344233,9.3,2,4,53,50,Male,No,11552.74
27797184,27.4,1,1,29,41,Male,No,4836.19
25605803,73.8,4,4,18,22,Female,No,17163.91
20257054,69.5,2,5,44,51,Male,No,5571.76
23737938,80,2,3,34,64,Male,No,10146.2
17464390,51.7,8,2,33,20,Female,Yes,16114.18
7368460,106.4,6,2,19,65,Female,Yes,8164.33
2048914,102.5,7,2,40,54,Male,No,9950.87
6133555,13.3,3,2,55,61,Female,No,771.04
23229095,58.4,7,2,41,43,Male,No,8956.85
11398661,33.9,6,1,29,57,Female,Yes,7968.23
7480813,101.7,5,3,38,56,Female,No,15481.44
21372903,111,4,2,59,36,Female,No,12276.14
4902138,91.6,5,3,31,41,Female,No,13088.52
14506696,65.9,1,4,16,52,Female,No,16950.75
13007184,68.1,4,0,9,32,Female,No,12756.9
5726941,28.4,3,5,44,22,Male,No,2072.81
8980846,61.1,2,4,10,30,Female,No,17140.81
9591957,91,7,1,10,44,Male,No,14989.69
29862763,49.4,3,4,12,50,Female,No,0
23738705,53,4,3,8,57,Female,No,8428.25
19510641,84.3,7,3,50,54,Female,No,8148.57
15681229,93.6,7,1,52,62,Female,Yes,12279.08
8533012,29,4,1,6,31,Female,No,14829.04
26405584,49.4,5,3,20,49,Male,No,6835.5
10473910,32.6,8,2,54,31,Female,No,5060.79
10261114,43.6,5,2,49,41,Female,Yes,17355.52
13202633,69.4,5,1,34,43,Female,No,9648.95
44289,100,3,0,55,32,Male,No,22562.01
21177432,121.5,1,2,25,50,Male,No,17907.23
17401368,82.1,5,3,45,54,Male,No,15414.54
10515918,109.5,6,3,38,46,Male,Yes,7373.69
26087619,128.5,1,5,13,46,Male,No,7063.65
24949797,74.7,4,4,2,36,Male,Yes,16315.66
19599848,71.4,6,1,9,41,Male,No,10684.08
6512641,83.6,5,1,29,52,Male,No,8985.94
14168510,79.5,6,3,56,34,Female,No,17847.28
16280008,67,5,4,19,54,Female,Yes,12419.11
26178850,46.9,1,4,22,48,Female,No,0
10029511,64.6,3,3,25,53,Female,No,5359.87
5943703,111.4,3,2,37,35,Male,No,13340.16
12085174,116.9,8,1,16,59,Female,No,26360.62
26941757,57.3,1,4,43,61,Female,No,2814.78
19032756,46.5,5,4,42,36,Female,No,14493.67
1188691,89.5,5,3,44,32,Male,No,10694.89
27001168,93.5,3,3,33,50,Male,No,6083.9
16499795,52.2,6,3,16,58,Male,No,9329.9
13051736,41.1,7,3,60,59,Female,Yes,6940.63
25569656,64.5,1,3,10,57,Female,No,5819.08
14947679,88.7,6,0,18,33,Male,No,11702.45
13203270,46.3,5,0,44,24,Female,Yes,11536.64
8959094,112.9,5,3,59,33,Male,No,13825.91
19161368,30,6,4,56,40,Female,No,3687.36
9372623,41.4,6,1,56,56,Male,No,10443.54
20125939,77.1,4,5,53,44,Female,No,15722.11
3953184,45.7,3,2,55,23,Male,Yes,15846.65
12674404,35.4,2,5,57,29,Male,No,0
12635791,88.6,3,3,57,60,Female,No,11179.99
24038888,72.3,3,2,47,51,Female,No,12394.32
9543887,89.5,6,5,40,59,Female,No,20424.77
10678910,57.6,1,4,42,37,Male,Yes,10642.36
15348434,90.4,7,1,18,33,Male,No,14019.82
21461956,111.6,3,3,59,35,Female,No,6245.37
14805478,35,7,4,15,43,Female,No,0
592025,117.1,8,2,1,47,Male,No,20610.26
12600695,72.2,3,3,24,26,Male,No,12339.15
9210102,38.5,4,4,9,46,Male,No,15673.96
15319448,105.9,5,1,22,45,Male,No,19690.03
3539671,49.7,4,2,49,43,Female,No,7972.66
17407168,112.8,5,4,24,51,Female,No,22475.21
23207052,100.4,6,5,34,47,Male,No,18566.11
20053591,96,2,5,2,37,Female,No,10816.53
203890,39.2,2,3,14,29,Male,No,7425.54
25280522,15.6,1,5,43,43,Male,No,0
20657625,84.4,2,3,23,49,Male,No,12749.67
27876855,85.5,1,3,43,45,Male,No,21689.19
27750909,25.7,7,1,3,52,Male,No,8051.56
19810312,52,2,1,38,63,Male,No,16906.55
21711389,47.8,6,0,18,48,Female,No,14521.53
3001924,24.1,6,2,1,54,Male,No,5890.2
14660910,48.6,2,1,51,41,Female,No,6428.6
15952690,32.1,3,3,45,32,Female,No,8109.6
17340832,38.5,1,4,16,28,Male,No,4656.3
23846765,52.3,2,1,48,57,Male,No,4655.69
3249456,63.5,5,5,41,48,Female,No,6749.32
22474513,79.6,1,0,18,41,Male,No,17484.52
945267,43.6,7,3,33,53,Male,No,5574.69
1492535,85.1,8,3,28,44,Female,No,10528.85
16504266,62.6,5,3,49,60,Male,No,13669.07
25943181,53.5,2,1,39,34,Male,Yes,7237.61
20678057,87.2,2,4,13,39,Male,No,8219.13
13591151,58,6,3,55,49,Female,No,11051.3
4152331,47.9,2,0,0,33,Male,No,1274.16
24020328,50.1,6,2,36,59,Female,No,14040.15
8062692,23.4,8,4,27,49,Female,No,8060.25
17506199,117.6,7,4,51,36,Female,No,25456.68
15475996,61.9,3,3,28,50,Male,No,2598.92
15528156,27.7,7,1,30,35,Female,No,5032.06
1829399,74.9,5,0,45,55,Female,No,16982.35
8988715,74.9,6,0,36,60,Male,No,10027.59
26055117,112.3,5,4,51,41,Female,No,18056.45
12421138,80.4,3,1,40,34,Male,No,11403.09
26492732,87.3,6,4,3,40,Male,No,12040.22
9832035,50.5,6,3,46,43,Female,No,9696.26
14555579,81.5,3,3,23,41,Female,No,8005.74
23655201,89.6,8,5,53,41,Female,No,15244.9
7899170,44.3,2,1,45,59,Male,No,5383.34
14425342,42.7,6,1,37,32,Female,No,13485.79
26743514,76,3,5,60,48,Female,No,17258.18
27047366,133.1,5,3,8,54,Female,No,11180.64
29900090,24.9,7,0,46,29,Female,No,13021.82
16403243,24.6,7,3,52,39,Female,No,14552.68
20904529,91.2,7,3,31,45,Male,No,17677.35
19552431,62.6,2,5,55,48,Female,No,10548.63
10275859,53.7,6,4,45,39,Female,No,1127.46
23069341,31.6,7,2,25,36,Male,No,10723.96
16970329,88.6,8,3,47,34,Male,No,25895.27
24441381,69.4,5,5,30,55,Male,No,3220.61
550341,76.8,3,4,27,33,Female,No,9749.82
23617964,54.1,4,1,5,36,Female,No,5009.01
10582991,105.5,3,2,29,28,Male,No,21664.32
26432970,88.8,2,5,3,42,Female,No,6430.17
2942957,85.4,5,4,17,55,Female,No,20787.54
8267812,23.4,6,3,21,61,Female,No,0
2541384,88.7,3,3,10,46,Female,No,7315.2
8682742,108.4,7,2,14,57,Female,No,20222.35
12580831,57.6,5,4,58,36,Female,No,7432.36
10380385,42.5,3,2,12,62,Male,No,0
12791412,53.1,8,3,53,43,Female,No,14597.04
19727962,29.7,1,2,2,34,Male,Yes,4207.39
28988966,56.8,3,5,53,58,Male,No,9322.05
13620196,113.4,7,3,20,45,Female,No,20214.44
16047408,80,7,3,22,48,Female,No,6376.93
12714999,100.6,7,4,52,50,Female,No,13989.39
5914487,67,4,3,29,37,Female,No,7378.57
20616203,117.7,1,1,0,46,Female,No,23510.59
8119721,89,5,2,12,49,Female,No,10710.49
12510099,68,2,4,18,59,Female,No,5649.2
19354027,76.6,2,2,42,37,Male,Yes,14610.78
13233089,94.6,4,4,4,58,Female,No,10322.37
1688542,76.7,4,5,26,37,Female,Yes,9473.04
6349688,95.7,7,5,5,62,Female,Yes,14459.36
20768818,72.6,3,4,8,47,Female,No,15884.07
2265242,31.1,8,4,37,50,Female,No,2112.61
29938177,59.9,1,0,30,52,Female,No,15077.35
6995918,51.8,3,4,52,36,Male,No,8819.62
1253007,54.4,3,4,37,38,Female,No,18226.1
10268716,82.8,3,4,16,58,Female,No,9830.23
3484685,61.7,2,0,8,40,Male,No,17094.56
28581194,79.2,5,1,49,49,Male,No,8678.1
16864524,79.4,7,3,41,62,Female,No,8457.12
4980426,28.8,3,2,23,54,Male,No,2813.1
21485298,80.7,2,1,8,35,Male,No,10055.69
1218074,39.2,4,3,46,31,Female,No,0
7066644,23.9,4,4,48,41,Female,No,3708.08
26065290,61.9,2,5,58,23,Male,No,5545.56
12141737,122.5,6,4,24,55,Male,No,19534.22
3785638,61,6,4,53,41,Female,No,7092.88
794335,49.7,2,2,18,52,Male,No,14319.66
26986016,81.9,7,2,39,20,Male,No,18308.38
21342594,17.3,1,2,37,49,Female,No,12135.88
16397921,28.6,7,5,47,55,Male,Yes,9702.69
22292841,73.9,4,2,50,47,Male,No,15685.16
5311735,93.5,4,3,17,44,Female,No,17402.41
15844084,49.7,8,2,28,30,Female,No,16278.79
16396920,96.1,3,5,16,43,Female,No,17436.86
23171244,65.3,8,3,54,47,Female,Yes,6660.39
13162492,30.3,4,1,16,41,Female,No,12393.23
11081540,70.9,3,0,28,36,Male,No,16019.37
19947234,58,2,4,46,35,Female,No,7685.61
22889403,27.2,4,2,34,36,Male,No,4097.84
6330418,44.6,2,4,32,56,Female,No,14621.34
646137,79.6,8,4,23,63,Female,No,19985.27
19320885,41.1,6,1,6,55,Male,No,9527.64
16728307,79.3,6,2,18,34,Female,Yes,8961.74
2529933,47.9,2,3,37,50,Female,No,13703.92
7093587,31.8,4,5,30,27,Male,Yes,7776.01
14761827,30.4,5,5,54,38,Female,No,12412.31
5849328,43.3,1,4,14,30,Male,No,12828.33
1305218,29.3,1,4,60,43,Male,No,8649.06
5685298,54.2,8,2,50,22,Male,No,10160.73
7831186,111.1,3,4,8,54,Male,No,24639.26
11832376,41.3,8,0,27,42,Male,No,4349.28
26360884,80.3,4,4,6,37,Male,Yes,21788.32
17005252,59.2,7,5,56,44,Male,No,11275.23
15851819,26.5,7,4,21,43,Female,Yes,0
16937904,48.3,8,0,32,25,Female,No,17375.24
15845510,70.3,6,2,54,47,Male,No,17673.97
6918919,116.7,1,4,36,34,Female,Yes,5843.93
13109317,72.9,5,1,3,50,Male,No,12088.48
12164208,68.5,6,2,15,53,Female,No,4883.27
26700040,62.6,1,3,43,55,Male,Yes,18036.42
17708568,67.7,1,4,11,42,Female,No,7516.23
29682539,90.3,5,4,23,43,Female,No,15305.22
14038130,51.9,5,5,38,32,Female,No,15440.68
13599400,69.8,8,2,44,42,Male,No,18088.36
13714828,40.5,6,0,34,27,Male,No,13920.76
3691921,83.1,8,2,37,55,Female,No,14095.13
21339166,65.5,2,3,44,69,Female,No,6070.26
9090663,23,3,2,34,62,Male,No,7702.69
22639452,51.3,8,2,10,47,Male,No,17822.26
29901076,39.8,3,3,58,31,Female,No,351.28
17976030,66.2,7,2,2,32,Male,No,7484.32
1868655,65.7,2,3,21,56,Female,No,8612.98
3947794,38.2,6,1,35,53,Male,No,15355.02
22137974,45.3,7,4,0,34,Male,No,12690.41
25182365,98.9,1,2,38,43,Female,No,16722.87
11096928,88.9,7,0,55,26,Male,No,13356.68
27556645,15.5,4,4,48,37,Female,No,0
12930616,46.6,4,2,11,35,Female,No,12037.71
28964336,97.2,5,2,17,62,Female,No,16903.36
20972726,94.3,4,3,18,34,Male,No,14652.82
22837822,62,1,4,59,41,Male,No,9730.73
7942290,35.3,2,2,32,54,Female,Yes,3676.19
5735943,75.4,5,2,31,44,Female,No,9841.34
22901824,38.1,6,5,51,34,Male,No,12298.11
14172561,99.9,8,5,24,24,Female,No,17240.65
9229999,128.6,8,2,21,38,Female,No,17186.39
2227434,22.1,5,1,27,29,Male,No,0
18745478,59.3,1,0,55,45,Male,No,9133.23
12545576,84.7,5,3,20,24,Male,No,14873.84
28987352,78.7,7,4,40,44,Female,No,13050.56
3662933,105.5,6,1,52,41,Male,No,11752.58
24841878,64.6,6,0,40,58,Female,No,14835.14
23437102,128.8,4,2,41,54,Male,No,19112.53
29542845,86.4,2,3,57,58,Female,No,7737.05
14631947,83.8,1,2,41,41,Female,No,12993.18
5568066,51.5,7,4,54,47,Female,No,6477.21
28650542,72.6,6,4,28,65,Female,Yes,10286.67
8069748,66.8,5,3,38,31,Female,No,8136.37
9414394,106.2,6,2,54,43,Female,No,25056.91
28753501,73.3,2,0,13,46,Male,No,15443.68
7700333,40.3,4,2,35,53,Male,No,6802.37
16471547,58.4,5,3,4,48,Female,No,6503.23
19022214,78.5,3,4,3,35,Female,No,6561.19
21767114,44.5,6,5,11,61,Male,No,9266.06
2777025,39,6,0,37,53,Female,No,12751.18
21852841,20,2,2,15,51,Male,No,1932.11
14980341,129.5,4,4,29,27,Male,No,12122.36
25336831,113.8,4,2,55,31,Male,No,19278.66
114106,57.2,3,3,32,37,Male,No,10446.99
28206526,35.4,7,4,55,47,Female,No,8847.86
19728492,46.4,5,1,57,30,Male,No,10121.97
20605738,76.7,3,4,51,49,Male,No,17733.86
9382274,39.5,3,2,59,53,Female,No,18179.63
7634971,51.5,6,5,26,40,Male,No,868.03
14346215,61.4,3,2,40,65,Male,No,3286.68
16517723,39.4,5,0,9,32,Female,Yes,10120.45
29107791,42.2,2,2,7,38,Male,No,2244.24
13623608,17.6,7,0,23,47,Female,No,8415.04
12430945,91.2,3,0,40,42,Male,No,6494.02
22585674,134.2,8,5,27,58,Male,Yes,22164.01
9553434,73.7,8,1,3,42,Male,No,13969.95
25557452,100.8,5,1,22,52,Male,No,16438.23
16824663,23.9,4,3,8,56,Female,No,0
6442506,100.8,2,3,11,46,Male,No,11386.62
10236212,116.4,1,1,21,50,Male,No,20373.98
22208390,36.6,8,2,8,51,Male,No,8733.42
23018614,73.7,5,4,26,55,Male,No,5443.39
6749034,53.2,2,3,1,38,Female,No,4951.98
8122824,53.4,2,2,58,22,Male,No,4619.27
28693661,56.6,1,1,11,67,Female,No,13818.29
19029184,86.2,2,4,30,49,Female,No,7087.43
8512406,108.2,4,4,58,57,Female,No,21737.49
25938322,31,4,5,30,42,Female,No,5871.77
23672211,63.3,6,2,37,35,Female,No,14834.59
16911324,109.8,8,1,43,49,Female,No,19994.5
24246706,71.8,1,3,59,35,Female,No,12169.28
23208006,118.6,3,2,46,37,Male,No,12832.77
5459486,40.5,6,3,20,40,Female,No,15457.72
12316646,46.3,5,3,59,31,Male,Yes,11282.86
7997089,58.1,7,4,8,39,Female,No,8806.3
27612235,89.6,6,3,54,56,Female,Yes,7783.45
17779790,63.8,1,1,35,33,Female,No,3325.81
8628150,111.8,5,4,25,62,Male,No,16956.17
25503940,119.4,5,5,28,51,Female,Yes,13062.34
22784762,71.2,4,1,28,63,Male,No,15967.59
26881310,73.2,7,0,20,43,Female,No,18329.35
12665455,39.5,7,4,10,34,Female,No,3848.85
13660603,87.4,3,2,19,43,Female,No,17729.75
16603256,41,3,3,16,36,Female,No,12725.67
10169174,67.2,3,4,4,51,Male,No,5604.43
21445955,95.7,1,3,39,44,Male,No,19691.52
26276416,94.5,4,3,59,36,Male,No,19431.27
11307358,42.4,2,3,27,29,Male,No,7698.57
21586806,79.4,4,2,38,28,Male,No,6817.75
16762622,34.8,2,2,24,56,Male,No,6223.71
650660,53.9,5,1,38,22,Female,Yes,15377.14
26614872,103.6,5,2,26,64,Male,No,13706.42
2329984,99.5,8,1,23,48,Male,No,10081.47
27308708,74.2,3,2,51,41,Male,No,7418.5
16523294,32.1,1,2,40,27,Male,No,7842.18
1327569,32.6,3,2,41,67,Male,No,16117.58
25721626,112,2,1,60,59,Male,No,16780.34
21869270,117.7,4,4,58,53,Female,No,16910.58
19670586,67.4,3,2,3,45,Male,No,17209.08
2390404,44,6,1,9,39,Male,No,13491.13
13327411,71.4,6,4,25,30,Male,No,2256.1
21636805,63.9,4,2,30,56,Female,Yes,13624.02
24208445,80.9,5,4,34,30,Male,No,21225.72
14652597,17.4,2,4,43,53,Female,No,4579.82
5683140,25.6,5,3,9,44,Female,No,5485.93
16656033,43.9,6,2,45,51,Female,No,12549.31
10072641,106.1,3,4,24,53,Female,Yes,22820.28
3455215,110.9,4,4,55,55,Female,No,18404.76
27837364,111.7,7,4,56,57,Female,No,17441.99
8691994,63.5,4,3,41,34,Male,No,4489.61
8822888,46.6,5,4,32,27,Female,No,16312.46
583288,125.3,3,2,8,40,Female,No,22999.9
25709808,45.7,3,2,22,53,Female,No,10195.14
24209653,40.4,5,0,24,56,Female,No,1343.23
9489210,77.2,2,4,15,35,Male,Yes,15327.62
17383215,55.1,8,1,16,52,Male,No,12701.8
29469571,79.6,5,0,33,36,Male,No,16596.08
22389689,77.3,2,5,42,38,Male,No,7655.68
25827902,119.6,3,1,55,45,Male,No,20926.84
11177058,92.9,5,4,8,45,Male,Yes,15480.98
27585478,35.5,2,4,45,34,Male,Yes,3004.38
15194641,59.6,7,4,23,35,Male,No,8984.53
21147812,68.1,3,3,41,37,Male,No,10206.27
